928	OPEN	choksi2212	2026-09-18T10:07:45Z	Terminal: child stdin is never closed - no EOF path exists, so run_command's advertised one-shot commands can never exit and 16 wedged sessions exhaust the global budget for ALL owners
927	OPEN	choksi2212	2026-09-18T10:07:15Z	Security: the host plugin Update path never vets the downloaded jar's declared pluginId - an identity-mismatched jar uninstalls the real plugin and can hot-swap the process-wide API layer
926	OPEN	choksi2212	2026-09-18T09:51:31Z	Security: the workspace MCP file tools write reserved store files by name (Space_Themes.json, last-session-set), and plugin provider ids pass unscoped through registration
925	OPEN	choksi2212	2026-09-18T09:51:05Z	KeymapSettingsManager, BrowserZoomSettings, and workspace-settings.json persist with truncate-on-open writeText, racing save paths, and silent data loss on decode failure
924	OPEN	choksi2212	2026-09-18T09:49:56Z	Security: the public mobile auth pages allow unauthenticated session_id rebinding - the victim's completed passkey ceremony and token handoff redirect to the attacker's session
923	OPEN	choksi2212	2026-09-18T09:49:38Z	Security: terminal session creation spawns inside the service-global lock with caller-controlled cwd - one dead UNC path stalls every TerminalService RPC app-wide
922	OPEN	choksi2212	2026-09-18T09:49:19Z	Security: macOS updater installs whatever /Volumes/BOSS* volume the glob finds first - name-glob race past the checksum gate; Linux JAR update has no rollback either
921	OPEN	choksi2212	2026-09-18T09:49:01Z	Security: heartbeat-timeout enforcement is dead code - an alive-but-wedged child is never detected, and respawn replays the stored spawn environment (secrets included)
920	OPEN	choksi2212	2026-09-18T09:48:43Z	Security: open_workspace path mode re-enters saved Spaces and runs persisted terminal startup commands, bypassing the MCP initial-command refusal gate
919	OPEN	choksi2212	2026-09-18T09:48:29Z	Security: DesktopGitService.checkout() runs the remote-prefix-stripped name unchecked - remote branch 'origin/-f' becomes 'git checkout -f --' and silently discards all uncommitted work
915	OPEN	choksi2212	2026-09-18T08:39:43Z	Security: the plugin ratings route accepts unbounded page/pageSize - oversized range queries and raw auth.users UUID enumeration, unauthenticated
914	OPEN	choksi2212	2026-09-18T08:39:23Z	Security: remote-JAR central-directory sizes are used unvalidated as range-fetch bounds and buffer sizes - a crafted JAR OOMs the edge isolate per request
912	OPEN	choksi2212	2026-09-18T08:39:05Z	Security: unfinalized plugin version rows become 'latest' before the JAR exists, breaking or poisoning downloads for every user of the plugin
911	OPEN	choksi2212	2026-09-18T08:30:16Z	Security: the browser service accepts, executes, and logs javascript: URLs verbatim (and a stuck-loading Reload state rides along)
910	OPEN	choksi2212	2026-09-18T08:29:58Z	Security: the Chromium engine reinstall deletes the only working engine before extraction, and the macOS ditto fallback silently produces a non-booting engine
896	OPEN	Mihir-Rabari	2026-09-18T07:34:54Z	Security: open_workspace workspacePath reads any file on disk and applies it - no containment, loaded-layout paths skip checkProjectPath
895	OPEN	Mihir-Rabari	2026-09-18T07:34:53Z	Security: MCP standing ALLOWs skip argument-driven CRITICAL re-asks - one Always-Allow executes commands the risk evaluator rates CRITICAL
886	OPEN	nitininhouse	2026-09-18T05:56:43Z	Security: a credential inside a URI authority reaches the approval dialog and the ledger unmasked
885	OPEN	choksi2212	2026-09-18T05:44:33Z	Security: the out-of-process EditorService saveFile tears user files on crash and its path gate misses Windows system paths and symlink escapes
873	OPEN	RohithPariki	2026-09-17T23:50:58Z	SnapshotManager: path traversal in processId escapes snapshots directory, and save uses non-atomic writes
871	OPEN	RohithPariki	2026-09-17T22:25:36Z	SettingsServiceImpl: concurrent setSetting calls race on uncoordinated writes, and saveToDisk uses non-atomic truncation
862	CLOSED	Mihir-Rabari	2026-09-17T18:57:21Z	close_workspace can delete a Space JSON outside the workspace directory via the same .json passthrough as #856
860	CLOSED	Mihir-Rabari	2026-09-17T18:44:26Z	atomicWriteText perms are umask-inherited (world-readable on stock desktops) and two stats/recent-project writes are still non-atomic
857	CLOSED	Mihir-Rabari	2026-09-17T18:32:32Z	Unbounded plugin.json entry reads in the loader and local repository let a hostile jar OOM the host before signature verification
856	CLOSED	Mihir-Rabari	2026-09-17T18:23:05Z	open_workspace accepts workspace ids with path separators, loading Space JSON from outside the workspace directory
855	CLOSED	Mihir-Rabari	2026-09-17T18:23:04Z	Supabase realtime log lines embed the signed-in user access token when a send fails
852	OPEN	Mihir-Rabari	2026-09-17T17:56:29Z	plugin-store edge function: three low-severity hardening follow-ups
851	OPEN	Mihir-Rabari	2026-09-17T17:55:54Z	ApiClassLoader.fromPluginDir installs the newest api-claiming jar with no verification
850	CLOSED	Mihir-Rabari	2026-09-17T17:55:54Z	System-plugin GitHub fallback downloads install with no checksum or signature verification
848	OPEN	Vidhaankhare16	2026-09-17T17:53:40Z	Security: boss://workspace ignores DeepLinkOrigin, so an external link runs a Space's terminal commands without the confirmation boss://terminal requires
847	OPEN	Mihir-Rabari	2026-09-17T17:50:03Z	boss://plugin action deep-links dispatch without origin gating, unlike boss://terminal
846	OPEN	Mihir-Rabari	2026-09-17T17:50:02Z	Supabase session tokens persisted in plaintext via the default JVM Preferences backend
845	OPEN	Mihir-Rabari	2026-09-17T17:50:02Z	Passkey SECURITY DEFINER search_path remediation is incomplete: the part-1 migration never landed
836	OPEN	nitininhouse	2026-09-17T16:02:02Z	Security: redaction order leaks the credential it was meant to hide, so "Authorization: Bearer <token>" reaches the approval dialog and the ledger with only the label masked
835	OPEN	RounakKumarAgarwal	2026-09-17T15:52:23Z	boss-native-files: symlink tests fail on Windows without symlink-creation privilege
832	CLOSED	choksi2212	2026-09-17T14:16:46Z	Security (Windows): open_workspace's projectPath strict gate misses Windows-shaped dangerous paths — its own regression test fails on windows-latest
827	OPEN	aryanbajaj868	2026-09-17T13:19:05Z	dev is red on windows-latest: WorkspaceMcpToolProviderTest rejects-dangerous-paths fails since #794
823	OPEN	choksi2212	2026-09-17T12:58:26Z	Security: session trust is keyed by tool name alone — one "trust for this session" click silently pre-approves every provider's same-named tool
