762	OPEN	choksi2212	UserDataStorage read-modify-writes user_data.json without coordination and with non-atomic writes
764	OPEN	choksi2212	RecentFilesManager mutates the recorded list from unsynchronized coroutines and persists with a non-atomic write
768	OPEN	choksi2212	Security: /passkey/auth/challenge is an unauthenticated email + passkey-enrollment enumeration oracle
770	OPEN	choksi2212	Security: all edge functions return raw exception messages to unauthenticated callers
797	OPEN	choksi2212	Security: the GitHub fallback update download installs with no checksum verification at all
804	OPEN	choksi2212	Security: the mutating-tool policy gate classifies by NAME ONLY and ignores the provider's own readOnly declaration
813	OPEN	choksi2212	DesktopGitService.refresh() races itself: the "cancel any pending refresh" guard is a dead field, and concurrent refreshes interleave writes to shared git state
823	OPEN	choksi2212	Security: session trust is keyed by tool name alone — one "trust for this session" click silently pre-approves every provider's same-named tool
827	OPEN	aryanbajaj868	dev is red on windows-latest: WorkspaceMcpToolProviderTest rejects-dangerous-paths fails since #794
885	OPEN	choksi2212	Security: the out-of-process EditorService saveFile tears user files on crash and its path gate misses Windows system paths and symlink escapes
910	OPEN	choksi2212	Security: the Chromium engine reinstall deletes the only working engine before extraction, and the macOS ditto fallback silently produces a non-booting engine
911	OPEN	choksi2212	Security: the browser service accepts, executes, and logs javascript: URLs verbatim (and a stuck-loading Reload state rides along)
912	OPEN	choksi2212	Security: unfinalized plugin version rows become 'latest' before the JAR exists, breaking or poisoning downloads for every user of the plugin
914	OPEN	choksi2212	Security: remote-JAR central-directory sizes are used unvalidated as range-fetch bounds and buffer sizes - a crafted JAR OOMs the edge isolate per request
915	OPEN	choksi2212	Security: the plugin ratings route accepts unbounded page/pageSize - oversized range queries and raw auth.users UUID enumeration, unauthenticated
919	OPEN	choksi2212	Security: DesktopGitService.checkout() runs the remote-prefix-stripped name unchecked - remote branch 'origin/-f' becomes 'git checkout -f --' and silently discards all uncommitted work
920	OPEN	choksi2212	Security: open_workspace path mode re-enters saved Spaces and runs persisted terminal startup commands, bypassing the MCP initial-command refusal gate
921	OPEN	choksi2212	Security: heartbeat-timeout enforcement is dead code - an alive-but-wedged child is never detected, and respawn replays the stored spawn environment (secrets included)
922	OPEN	choksi2212	Security: macOS updater installs whatever /Volumes/BOSS* volume the glob finds first - name-glob race past the checksum gate; Linux JAR update has no rollback either
923	OPEN	choksi2212	Security: terminal session creation spawns inside the service-global lock with caller-controlled cwd - one dead UNC path stalls every TerminalService RPC app-wide
924	OPEN	choksi2212	Security: the public mobile auth pages allow unauthenticated session_id rebinding - the victim's completed passkey ceremony and token handoff redirect to the attacker's session
925	OPEN	choksi2212	KeymapSettingsManager, BrowserZoomSettings, and workspace-settings.json persist with truncate-on-open writeText, racing save paths, and silent data loss on decode failure
926	OPEN	choksi2212	Security: the workspace MCP file tools write reserved store files by name (Space_Themes.json, last-session-set), and plugin provider ids pass unscoped through registration
927	OPEN	choksi2212	Security: the host plugin Update path never vets the downloaded jar's declared pluginId - an identity-mismatched jar uninstalls the real plugin and can hot-swap the process-wide API layer
928	OPEN	choksi2212	Terminal: child stdin is never closed - no EOF path exists, so run_command's advertised one-shot commands can never exit and 16 wedged sessions exhaust the global budget for ALL owners
